,Train,Test,P value,Train GA,Test GA,P value GA
0,0.751984126984127,1.0,0.003,0.5925925925925926,1.0,0.463
1,0.7546296296296297,0.23809523809523808,0.014,0.6917989417989417,0.6666666666666666,1.0
2,0.75,1.0,0.002,0.7056878306878307,1.0,0.0
3,0.7486772486772487,0.9047619047619048,0.0,0.6395502645502645,1.0,0.762
4,0.75,0.6666666666666666,0.004,0.7420634920634921,0.8571428571428571,0.917
5,0.7579365079365079,0.5238095238095238,0.013,0.6408730158730159,0.8095238095238095,0.763
6,0.7513227513227513,1.0,0.001,0.6097883597883598,1.0,0.9
7,0.7486772486772487,0.9523809523809523,0.0,0.7043650793650794,0.9523809523809523,0.52
8,0.7619047619047619,0.42857142857142855,0.007,0.576058201058201,1.0,0.024
9,0.7638888888888888,0.38095238095238093,0.0,0.5853174603174603,0.8095238095238095,0.673
10,0.7493386243386243,0.9523809523809523,0.001,0.7321428571428571,0.9523809523809523,0.999
11,0.7493386243386243,0.9523809523809523,0.003,0.7182539682539683,1.0,1.0
12,0.75,0.8571428571428571,0.003,0.7228835978835979,0.8571428571428571,1.0
13,0.7599206349206349,0.19047619047619047,0.008,0.6481481481481481,0.9047619047619048,0.278
14,0.7566137566137566,0.47619047619047616,0.048,0.6818783068783069,0.9047619047619048,0.796
15,0.7619047619047619,0.0,0.231,0.5264550264550265,0.6666666666666666,0.132
16,0.7619047619047619,0.09523809523809523,0.005,0.576058201058201,0.6190476190476191,0.148
17,0.75,0.9523809523809523,0.034,0.718915343915344,0.9047619047619048,0.994
18,0.7559523809523809,0.8571428571428571,0.072,0.6448412698412699,1.0,0.0
19,0.75,1.0,0.005,0.6183862433862434,1.0,0.001
20,0.751984126984127,0.9523809523809523,0.001,0.5628306878306878,1.0,0.071
21,0.7559523809523809,0.9047619047619048,0.019,0.7268518518518519,0.9523809523809523,0.996
22,0.7526455026455027,0.9523809523809523,0.002,0.7222222222222222,1.0,0.0
23,0.7506613756613757,1.0,0.008,0.7321428571428571,1.0,0.881
24,0.7486772486772487,1.0,0.02,0.6534391534391535,1.0,0.426
25,0.75,1.0,0.077,0.701058201058201,1.0,0.841
26,0.7526455026455027,0.8571428571428571,0.029,0.5588624338624338,1.0,0.067
